"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176488024","177120918","177800925","175424139","175196628","175160750","174113590","172535384","171956136","176266063","176322137","175179332","175548160","175373118","176418546","177648995","178647288","180511668","182230438","183579785","185330553","187108320","187849205","189183565","189884091","191357698","192414808","193385904","193277993",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388359059","390785241","390803680","388046273","388200279","388211351","388166745","387575935","388459159","394712778","396268167","395722284","398360136","400642284","403471864","407703926","410698830","414562785","418707247","421049723","423361921","425040533","427443270","429700966","431410267","433746981","436378686","438236015","438153845",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4072480","4206059","4336546","4469883","4614293","4752652","4888274","5033772","5361928","5474009","5585467","5689696","5793221","5895689","6246802","6336050","6609359","6617184","6778912","6732879","6765349","6823849","7030217","7106158","7229425","7659678","8054003","8309604","8481696",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15426960","15812937","16195399","16637293","17443612","17485585","17821558","18136099","18445732","19634845","20135795","20509145","20883848","21727976","22583713","23434907","24211891","25355892","25876081","26804867","27641861","28115330","28904073","29737542","30304094","29884510","30246357","30802887","31548080",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139884503","141677503","141150306","141235840","142025068","142235598","143246373","144249970","145472019","147016054","148172448","148558746","150603625","152758141","154207348","156263644","157798199","159388499","160896494","161331097","161506701","161029598","162024914","162403728","162656703","163037247","163961331","164465616","164348561",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1008707","999792","984246","964391","944226","927837","932262","939951","953704","976458","1010043","1059239","1119993","1187759","1255179","1317283","1362029","1400078","1432709","1458568","1480330","1498923","","","","","","","",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15594987","15742777","15886115","16113250","16426457","16541613","16820521","17146817","17424004","17749922","18265124","18197220","19041222","19814449","20485984","21257362","21906258","22487090","23119646","23387407","23577218","23613497","23604551","23377272","23143877","23056875","23016300","22928913","22881791",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773798","766872","751458","732091","716836","704354","693954","695454","680741","673734","679299","669058","654674","677787","678266","673822","693423","692026","697830","690487","683966","687800","684718","680940","676059","686173","694099","700951","698305",
"Ethiopia","ETH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20063292","20726010","21446809","22191816","22969489","23898406","24759918","25637227","26537784","27477297","28466534","29400784","30409640","31478330","32591669","33749516","34775952","35855879","37005868","38241467","39565470","41002979","42506226","44072231","45702364","47377787","49040146","50756189","52630311",
"European Union","EUU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221968699","223690306","222990016","222598034","222991037","222935132","223421543","224333433","225466269","227313580","228645505","228885798","229871622","231937383","233675989","236283626","238432161","240200764","242296099","243031914","243680621","243210701","244826124","245640411","246551758","247182908","248439841","249567765","249403509",
